"","vung","tentinh","tenhuyen","min_salary"
"1","I","Thành phố Hồ Chí Minh","Quận 1",4960
"2","I","Thành phố Hồ Chí Minh","Quận 3",4960
"3","I","Thành phố Hồ Chí Minh","Quận 4",4960
"4","I","Thành phố Hồ Chí Minh","Quận 5",4960
"5","I","Thành phố Hồ Chí Minh","Quận 6",4960
"6","I","Thành phố Hồ Chí Minh","Quận 7",4960
"7","I","Thành phố Hồ Chí Minh","Quận 8",4960
"8","I","Thành phố Hồ Chí Minh","Quận 10",4960
"9","I","Thành phố Hồ Chí Minh","Quận 11",4960
"10","I","Thành phố Hồ Chí Minh","Quận 12",4960
"11","I","Thành phố Hồ Chí Minh","Quận Bình Thạnh",4960
"12","I","Thành phố Hồ Chí Minh","Quận Tân Phú",4960
"13","I","Thành phố Hồ Chí Minh","Quận Tân Bình",4960
"14","I","Thành phố Hồ Chí Minh","Quận Bình Tân",4960
"15","I","Thành phố Hồ Chí Minh","Quận Phú Nhuận",4960
"16","I","Thành phố Hồ Chí Minh","Quận Gò Vấp",4960
"17","I","Thành phố Hồ Chí Minh","Thành phố Thủ Đức",4960
"18","I","Thành phố Hồ Chí Minh","Huyện Củ Chi",4960
"19","I","Thành phố Hồ Chí Minh","Huyện Hóc Môn",4960
"20","I","Thành phố Hồ Chí Minh","Huyện Bình Chánh",4960
"21","I","Thành phố Hồ Chí Minh","Huyện Nhà Bè",4960
"22","I","Hải Phòng","Quận Hồng Bàng",4960
"23","I","Hà Nội","Quận Ba Đình",4960
"24","I","Hà Nội","Quận Bắc Từ Liêm",4960
"25","I","Hà Nội","Quận Cầu Giấy",4960
"26","I","Hà Nội","Quận Đống Đa",4960
"27","I","Hà Nội","Quận Hà Đông",4960
"28","I","Hà Nội","Quận Hai Bà Trưng",4960
"29","I","Hà Nội","Quận Hoàn Kiếm",4960
"30","I","Hà Nội","Quận Hoàng Mai",4960
"31","I","Hà Nội","Quận Long Biên",4960
"32","I","Hà Nội","Quận Nam Từ Liêm",4960
"33","I","Hà Nội","Quận Tây Hồ",4960
"34","I","Hà Nội","Quận Thanh Xuân",4960
"35","I","Hà Nội","Huyện Gia Lâm",4960
"36","I","Hà Nội","Huyện Đông Anh",4960
"37","I","Hà Nội","Huyện Sóc Sơn",4960
"38","I","Hà Nội","Huyện Thường Tín",4960
"39","I","Hà Nội","Huyện Hoài Đức",4960
"40","I","Hà Nội","Huyện Thạch Thất",4960
"41","I","Hà Nội","Huyện Quốc Oai",4960
"42","I","Hà Nội","Huyện Thanh Oai",4960
"43","I","Hà Nội","Huyện Mê Linh",4960
"44","I","Hà Nội","Huyện Chương Mỹ",4960
