"","mien","lanhtho","tentinh"
"1","Bắc","Tây Bắc Bộ","Lào Cai"
"2","Bắc","Tây Bắc Bộ","Yên Bái"
"3","Bắc","Tây Bắc Bộ","Điện Biên"
"4","Bắc","Tây Bắc Bộ","Hoà Bình"
"5","Bắc","Tây Bắc Bộ","Lai Châu"
"6","Bắc","Tây Bắc Bộ","Sơn La"
"7","Bắc","Đông Bắc Bộ","Hà Giang"
"8","Bắc","Đông Bắc Bộ","Cao Bằng"
"9","Bắc","Đông Bắc Bộ","Bắc Kạn"
"10","Bắc","Đông Bắc Bộ","Lạng Sơn"
"11","Bắc","Đông Bắc Bộ","Tuyên Quang"
"12","Bắc","Đông Bắc Bộ","Thái Nguyên"
"13","Bắc","Đông Bắc Bộ","Phú Thọ"
"14","Bắc","Đông Bắc Bộ","Bắc Giang"
"15","Bắc","Đông Bắc Bộ","Quảng Ninh"
"16","Bắc","Đồng bằng sông Hồng","Bắc Ninh"
"17","Bắc","Đồng bằng sông Hồng","Hà Nam"
"18","Bắc","Đồng bằng sông Hồng","Hà Nội"
"19","Bắc","Đồng bằng sông Hồng","Hải Dương"
"20","Bắc","Đồng bằng sông Hồng","Hải Phòng"
"21","Bắc","Đồng bằng sông Hồng","Hưng Yên"
"22","Bắc","Đồng bằng sông Hồng","Nam Định"
"23","Bắc","Đồng bằng sông Hồng","Ninh Bình"
"24","Bắc","Đồng bằng sông Hồng","Thái Bình"
"25","Bắc","Đồng bằng sông Hồng","Vĩnh Phúc"
"26","Trung","Bắc Trung Bộ","Thanh Hóa"
"27","Trung","Bắc Trung Bộ","Nghệ An"
"28","Trung","Bắc Trung Bộ","Hà Tĩnh"
"29","Trung","Bắc Trung Bộ","Quảng Bình"
"30","Trung","Bắc Trung Bộ","Quảng Trị"
"31","Trung","Bắc Trung Bộ","Thừa Thiên Huế"
"32","Trung","Nam Trung Bộ","Đà Nẵng"
"33","Trung","Nam Trung Bộ","Quảng Nam"
"34","Trung","Nam Trung Bộ","Quảng Ngãi"
"35","Trung","Nam Trung Bộ","Bình Định"
"36","Trung","Nam Trung Bộ","Phú Yên"
"37","Trung","Nam Trung Bộ","Khánh Hòa"
"38","Trung","Nam Trung Bộ","Ninh Thuận"
"39","Trung","Nam Trung Bộ","Bình Thuận"
"40","Trung","Tây Nguyên","Kon Tum"
"41","Trung","Tây Nguyên","Gia Lai"
"42","Trung","Tây Nguyên","Đắk Lắk"
"43","Trung","Tây Nguyên","Đắk Nông"
"44","Trung","Tây Nguyên","Lâm Đồng"
"45","Nam","Đông Nam Bộ","Bình Phước"
"46","Nam","Đông Nam Bộ","Bình Dương"
"47","Nam","Đông Nam Bộ","Đồng Nai"
"48","Nam","Đông Nam Bộ","Tây Ninh"
"49","Nam","Đông Nam Bộ","Bà Rịa - Vũng Tàu"
"50","Nam","Đông Nam Bộ","Hồ Chí Minh"
"51","Nam","Đồng bằng sông Cửu Long","Long An"
"52","Nam","Đồng bằng sông Cửu Long","Đồng Tháp"
"53","Nam","Đồng bằng sông Cửu Long","Tiền Giang"
"54","Nam","Đồng bằng sông Cửu Long","An Giang"
"55","Nam","Đồng bằng sông Cửu Long","Bến Tre"
"56","Nam","Đồng bằng sông Cửu Long","Vĩnh Long"
"57","Nam","Đồng bằng sông Cửu Long","Trà Vinh"
"58","Nam","Đồng bằng sông Cửu Long","Hậu Giang"
"59","Nam","Đồng bằng sông Cửu Long","Kiên Giang"
"60","Nam","Đồng bằng sông Cửu Long","Sóc Trăng"
"61","Nam","Đồng bằng sông Cửu Long","Bạc Liêu"
"62","Nam","Đồng bằng sông Cửu Long","Cà Mau"
"63","Nam","Đồng bằng sông Cửu Long","Cần Thơ"
